,,A,A,A,A,A,B,B,B,B,B
,,Mon,Tue,Wed,Thu,Fri,Mon,Tue,Wed,Thu,Fri
1,Subject,Math,English,German,PE,Chemistry,Chemistry,PE,German,English,Math
1,Class,5e,6c,9a,7d,8a,8a,7d,9a,6c,5e
1,Start,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00
1,End,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00
2,Subject,English,German,PE,Chemistry,Knitting,Knitting,Chemistry,PE,German,English
2,Class,6c,9a,7d,8a,10f,10f,8a,7d,9a,6c
2,Start,09:15:00,09:15:00,09:15:00,09:15:00,09:15:00,09:15:00,09:15:00,09:15:00,09:15:00,09:15:00
2,End,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00
3,Subject,German,PE,Chemistry,Knitting,Math,Math,Knitting,Chemistry,PE,German
3,Class,9a,7d,8a,10f,5e,5e,10f,8a,7d,9a
3,Start,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00
3,End,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00
4,Subject,PE,Chemistry,Knitting,Math,English,English,Math,Knitting,Chemistry,PE
4,Class,7d,8a,10f,5e,6c,6c,5e,10f,8a,7d
4,Start,11:45:00,11:45:00,11:45:00,11:45:00,11:45:00,11:45:00,11:45:00,11:45:00,11:45:00,11:45:00
4,End,12:45:00,12:45:00,12:45:00,12:45:00,12:45:00,12:45:00,12:45:00,12:45:00,12:45:00,12:45:00
5,Subject,Chemistry,Knitting,Math,English,German,German,English,Math,Knitting,Chemistry
5,Class,8a,10f,5e,6c,9a,9a,6c,5e,10f,8a
5,Start,14:00:00,14:00:00,14:00:00,14:00:00,14:00:00,14:00:00,14:00:00,14:00:00,14:00:00,14:00:00
5,End,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00
6,Subject,Knitting,Math,English,German,PE,PE,German,English,Math,Knitting
6,Class,10f,5e,6c,9a,7d,7d,9a,6c,5e,10f
6,Start,15:15:00,15:15:00,15:15:00,15:15:00,15:15:00,15:15:00,15:15:00,15:15:00,15:15:00,15:15:00
6,End,16:15:00,16:15:00,16:15:00,16:15:00,16:15:00,16:15:00,16:15:00,16:15:00,16:15:00,16:15:00
